feature,display_name,bins_or_levels,roughness_ratio,direction_reversals,spearman_x_to_effect,production_recommendation
destination_daily_scheduled_flights,Destination flights scheduled that day,254,1.7839663286847418,2,0.9977790899823424,Smooth/coarsen; avoid a hard monotone constraint because hub identity creates plateaus
destination_recent_delay_rate,Recent destination delay rate (days -8 to -2),254,1.4079392883155692,20,0.9854699147204088,Apply a non-decreasing monotonic constraint
origin_recent_delay_rate,Recent origin delay rate (days -8 to -2),254,1.3964067903863915,19,0.9952621266157526,Apply a non-decreasing monotonic constraint
scheduled_duration_minutes,Scheduled gate-to-gate duration (minutes),249,1.1591529359466968,11,0.28820670823323064,Smooth with ~15-minute bins or max_bins~=64; do not impose global monotonicity
origin_hourly_scheduled_flights,Origin flights scheduled in the same hour,88,1.0951715327258333,1,0.9934441964283726,Consider weak non-decreasing constraint after checking within-airport calibration
route_recent_delay_rate,Recent route delay rate (days -29 to -2),254,1.0197588550409193,3,0.9995058729036441,Apply a non-decreasing monotonic constraint
scheduled_departure_hour,Scheduled departure hour,22,0.8991568288123081,2,0.8001129305477132,Keep unconstrained; adjacent-hour smoothing is acceptable but the daily pattern is non-monotone
within_three_days_of_federal_holiday,Within three days of a federal holiday,2,0.0,0,,Binary indicator: no smoothing or monotonic constraint needed
origin_nws_hazard_valid_at_departure,Origin NWS hazard valid at departure,2,0.0,0,,Binary indicator: no smoothing or monotonic constraint needed
destination_nws_hazard_valid_at_departure,Destination NWS hazard valid at scheduled departure,2,0.0,0,,Binary indicator: no smoothing or monotonic constraint needed
origin_nws_hazard_active_at_cutoff,Origin NWS hazard active at prediction time,2,0.0,0,,Binary indicator: no smoothing or monotonic constraint needed
destination_nws_hazard_active_at_cutoff,Destination NWS hazard active at prediction time,2,0.0,0,,Binary indicator: no smoothing or monotonic constraint needed
origin_nws_winter_hazard,Origin winter hazard forecast,2,0.0,0,,Binary indicator: no smoothing or monotonic constraint needed
destination_nws_winter_hazard,Destination winter hazard forecast,2,0.0,0,,Binary indicator: no smoothing or monotonic constraint needed
